,1,2,8,24,48,96
1,0.003099,0.003576,0.004053,0.003576,0.004530,0.004768
3,0.006437,0.047922,0.056744,0.091076,0.091553,0.083447
6,0.006914,0.048637,0.396967,0.467777,1.044273,0.461102
12,0.006914,0.048876,1.053333,1.281738,1.280308,1.274109
24,0.007391,0.047922,1.119614,1.809835,1.766443,1.867533
48,0.007868,0.049829,1.050234,1.398087,1.710176,36.171198
96,0.010490,0.049591,1.088858,1.448631,2.040863,157.464743
192,0.014305,0.054598,0.735521,1.033783,1.569033,142.016649
384,0.022650,0.062704,0.751734,1.642942,1.861572,144.238234
768,0.045061,0.081062,1.081705,1.468420,1.257181,144.408226
1536,0.082254,0.077724,0.775576,1.388073,1.512051,142.021418
3072,0.170469,0.079632,0.731707,0.999689,1.473427,143.573284
6144,0.372887,0.166416,0.789165,1.029491,1.554489,144.912481
12288,0.785351,0.133038,0.729561,0.940561,1.076221,141.707897
24576,1.656771,0.793219,1.068354,1.473188,1.662254,157.081604
49152,3.462791,3.570557,1.849651,1.808405,1.847982,143.157959
98304,7.475376,7.328987,1.590729,1.659393,2.012968,143.452644
196608,15.804291,6.177425,4.926920,1.484871,2.132416,140.899181
393216,33.004045,15.005112,10.567188,3.749847,2.722025,154.591322
786432,68.850517,32.174826,26.063681,6.235600,2.588511,142.768383
1572864,144.466877,76.116800,12.969017,21.165133,5.162001,142.692089
3145728,305.443048,135.281324,38.844109,20.477533,6.794930,144.253969
6291456,631.444216,226.551533,112.833261,16.502380,12.081146,144.739151
